top - 17:59:55 up 5 days,  7:05,  1 user,  load average: 3.55, 3.92, 4.01
Tasks: 474 total,   2 running, 472 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.4 us, 13.6 sy,  0.0 ni, 58.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15900.2 total,    284.0 free,  10360.2 used,   5255.9 buff/cache
MiB Swap:   2048.0 total,    777.9 free,   1270.1 used.   3786.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  37795 root      20   0    8936   4888   4164 S   0.0   0.0   0:00.10 nginx
  37846 systemd+  20   0    9324   2656   1500 S   0.0   0.0   0:00.00 nginx
  37847 systemd+  20   0    9324   2656   1500 S   0.0   0.0   0:00.00 nginx
  37848 systemd+  20   0    9324   2656   1500 S   0.0   0.0   0:00.00 nginx
  37849 systemd+  20   0    9324   2656   1500 S   0.0   0.0   0:00.00 nginx
  43595 nishant+  20   0 1129.9g 169608 110632 S   0.0   1.0   0:27.89 chrome
  43640 nishant+  20   0 1129.9g 169372 110520 S   0.0   1.0   0:19.86 chrome
  43847 nishant+  20   0 1129.9g 165368 109532 S   0.0   1.0   0:27.07 chrome
  43886 nishant+  20   0 1129.9g 192536 111212 S   0.0   1.2   4:08.57 chrome
  43913 nishant+  20   0 1129.9g 134412 100232 S   0.0   0.8   1:10.02 chrome
  52976 nishant+  20   0 1129.9g 155800 107900 S   0.0   1.0   0:20.26 chrome
  67073 nishant+  20   0 1129.9g 148884 108276 S   0.0   0.9   0:21.86 chrome
